CODMUNRES,ANO,ABORTOS_SUS_MENOR_30,ABORTOS_SUS_30_A_39,ABORTOS_SUS_40_OU_MAIS
420540,2013,0,0,0
420540,2014,0,0,0
420540,2015,0,0,0
420540,2016,0,0,0
420540,2017,0,0,0
420540,2018,0,0,0
420540,2019,0,0,0
420540,2020,1,0,0
421120,2012,0,0,0
421120,2013,0,0,0
421120,2014,0,0,0
421120,2015,0,0,0
421120,2016,0,0,0
421120,2017,0,0,0
421120,2018,0,0,0
421120,2019,0,0,0
421120,2020,1,0,0
421660,2012,0,0,0
421660,2013,0,0,0
421660,2014,0,0,0
421660,2015,0,0,0
421660,2016,0,0,0
421660,2017,0,0,0
421660,2018,0,0,0
421660,2019,1,0,0
421660,2020,0,0,0
421800,2012,0,0,0
421800,2013,0,0,0
421800,2014,0,0,0
421800,2015,0,0,0
421800,2016,0,0,0
421800,2017,0,0,0
421800,2018,0,0,0
421800,2019,0,0,0
421800,2020,1,0,0
430630,2012,0,0,0
430630,2013,0,0,0
430630,2014,0,0,0
430630,2015,0,0,0
430630,2016,1,0,0
430630,2017,0,0,0
430630,2018,0,0,0
430630,2019,0,0,0
430630,2020,0,0,0
430975,2012,0,0,0
430975,2013,0,0,0
430975,2014,0,0,0
430975,2015,0,0,0
430975,2016,1,0,0
430975,2017,0,0,0
430975,2018,0,0,0
430975,2019,1,0,0
430975,2020,0,0,0
431790,2012,0,0,0
431790,2013,0,0,0
431790,2014,0,0,0
431790,2015,1,0,0
431790,2016,0,0,0
431790,2017,0,0,0
431790,2018,0,0,0
431790,2019,0,0,0
431790,2020,0,0,0
432032,2012,0,0,0
432032,2013,0,0,0
432032,2014,1,0,0
432032,2015,0,0,0
432032,2016,0,0,0
432032,2017,0,0,0
432032,2018,0,0,0
432032,2019,0,0,0
432032,2020,0,0,0
432140,2012,0,0,0
432140,2013,0,0,0
432140,2014,0,0,0
432140,2015,0,0,0
432140,2016,0,0,0
432140,2017,0,0,0
432140,2018,0,1,0
432140,2019,0,0,0
432140,2020,0,0,0
500270,2012,0,0,0
500270,2013,0,0,0
500270,2014,0,0,0
500270,2015,0,0,0
500270,2016,0,0,0
500270,2017,0,0,0
500270,2018,0,0,0
500270,2019,0,0,0
500270,2020,2,0,0
500320,2012,0,0,0
500320,2013,0,0,0
500320,2014,0,0,0
500320,2015,0,0,0
500320,2016,0,0,0
500320,2017,0,0,0
500320,2018,0,0,0
500320,2019,0,0,0
500320,2020,1,0,0
500620,2012,0,0,0
500620,2013,0,0,0
500620,2014,0,0,0
500620,2015,0,0,0
500620,2016,0,0,0
500620,2017,0,0,0
500620,2018,0,0,0
500620,2019,1,0,0
500620,2020,0,0,0
500830,2012,0,0,0
500830,2013,0,0,0
500830,2014,0,0,0
500830,2015,0,0,0
500830,2016,0,0,0
500830,2017,1,0,0
500830,2018,0,0,0
500830,2019,0,0,0
500830,2020,1,0,0
510250,2012,0,0,0
510250,2013,0,0,0
510250,2014,0,0,0
510250,2015,0,0,0
510250,2016,0,0,0
510250,2017,0,0,0
510250,2018,0,0,0
510250,2019,0,0,0
510250,2020,1,0,0
510263,2012,0,0,0
510263,2013,0,0,0
510263,2014,0,0,0
510263,2015,0,0,0
510263,2016,0,0,0
510263,2017,0,0,0
510263,2018,0,0,0
510263,2019,0,0,0
510263,2020,1,0,0
510267,2012,0,0,0
510267,2013,0,0,0
